date,ConfirmedCases
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,5
2020-01-28,10
2020-01-29,13
2020-01-30,14
2020-01-31,17
2020-02-01,18
2020-02-02,21
2020-02-03,24
2020-02-04,29
2020-02-05,32
2020-02-06,36
2020-02-07,39
2020-02-08,42
2020-02-09,45
2020-02-10,49
2020-02-11,55
2020-02-12,59
2020-02-13,63
2020-02-14,65
2020-02-15,70
2020-02-16,71
2020-02-17,75
2020-02-18,76
2020-02-19,76
2020-02-20,76
2020-02-21,76
2020-02-22,76
2020-02-23,76
2020-02-24,76
2020-02-25,76
2020-02-26,76
2020-02-27,76
2020-02-28,76
2020-02-29,76
2020-03-01,76
2020-03-02,76
2020-03-03,76
2020-03-04,76
2020-03-05,76
2020-03-06,76
2020-03-07,76
2020-03-08,76
2020-03-09,76
2020-03-10,76
2020-03-11,76
2020-03-12,76
2020-03-13,76
2020-03-14,76
2020-03-15,76
2020-03-16,76
2020-03-17,76
2020-03-18,76
2020-03-19,76
2020-03-20,76
2020-03-21,76
2020-03-22,76
2020-03-23,76
2020-03-24,76
2020-03-25,76
2020-03-26,76
2020-03-27,76
2020-03-28,76
2020-03-29,76
2020-03-30,76
2020-03-31,76
2020-04-01,76
2020-04-02,76
2020-04-03,76
2020-04-04,76
2020-04-05,76
2020-04-06,76
2020-04-07,76
2020-04-08,76
2020-04-09,76
2020-04-10,76
2020-04-11,76
2020-04-12,76
2020-04-13,76
2020-04-14,76
2020-04-15,76
2020-04-16,76
2020-04-17,76
2020-04-18,76
